program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
DynExUpTo2VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:42:33.785934,2026-03-15T14:43:11.821323,38.035389,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m - a)],[ReLU(n + m - a)],NO,"{
  ""m"": 0,
  ""n"": 0
}",3766,
DynExUpTo2VarsConj,2,openrouter,openai/gpt-5-mini,2026-03-15T14:43:16.099081,2026-03-15T14:44:06.315001,50.21592,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]",YES,,4941,
DynExUpTo2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:44:10.279365,2026-03-15T14:44:57.225850,46.946485,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a), ReLU(m - a), ReLU(1 - a)]","[ReLU(n - a), ReLU(m - a), ReLU(1 - a)]",YES,,4818,
DynExUpTo3VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:45:00.918008,2026-03-15T14:46:25.758621,84.840613,"vars=['n', 'm', 'o'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a) + ReLU(m - a) + ReLU(o - a) + ReLU(1 - a)],[ReLU(n - a) + ReLU(m - a) + ReLU(o - a) + ReLU(1 - a)],YES,,6464,
DynExUpTo4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:46:29.394438,2026-03-15T14:48:03.640162,94.245724,"vars=['n', 'm', 'o', 'p'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n + 1 - a), ReLU(m + 1 - a), ReLU(o + 1 - a), ReLU(p + 1 - a)]","[ReLU(n + 1 - a), ReLU(m + 1 - a), ReLU(o + 1 - a), ReLU(p + 1 - a)]",YES,,5971,
DynamiteEx2Vars,1,openrouter,openai/gpt-5-mini,2026-03-15T14:48:08.045841,2026-03-15T14:48:45.838129,37.792288,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n + 1 - b), ReLU(m + 1 - b)]","[ReLU(n + 1 - b), ReLU(m + 1 - b)]",NO,"{
  ""m"": 2,
  ""n"": 4
}",3497,
DynamiteEx2Vars,2,openrouter,openai/gpt-5-mini,2026-03-15T14:48:49.549304,2026-03-15T14:49:34.724593,45.175289,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - 4*a) + ReLU(m - 4*b)],[ReLU(n - 4*a) + ReLU(m - 4*b)],NO,"{
  ""m"": 6,
  ""n"": 4
}",4984,
DynamiteEx2Vars,3,openrouter,openai/gpt-5-mini,2026-03-15T14:49:38.458797,2026-03-15T14:50:17.839832,39.381035,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - 4*a) + ReLU(m - 4*b)],[ReLU(n - 4*a) + ReLU(m - 4*b)],NO,"{
  ""m"": 6,
  ""n"": 4
}",4352,
DynamiteEx2Vars,4,openrouter,openai/gpt-5-mini,2026-03-15T14:50:21.611070,2026-03-15T14:50:48.855377,27.244307,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(m - 4*b)]","[ReLU(n - 4*a), ReLU(m - 4*b)]",NO,"{
  ""m"": 0,
  ""n"": 2
}",3490,
DynamiteEx2Vars,5,openrouter,openai/gpt-5-mini,2026-03-15T14:50:52.853224,2026-03-15T14:51:41.485374,48.63215,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a + 1), ReLU(m - 4*b + 1)]","[ReLU(n - 4*a + 1), ReLU(m - 4*b + 1)]",YES,,5137,
DynamiteExample,1,openrouter,openai/gpt-5-mini,2026-03-15T14:51:45.010765,2026-03-15T14:52:38.854441,53.843676,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],YES,,2959,
DynamiteExampleX4,1,openrouter,openai/gpt-5-mini,2026-03-15T14:52:42.693137,2026-03-15T14:53:12.012976,29.319839,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],NO,"{
  ""n"": 0
}",3472,
DynamiteExampleX4,2,openrouter,openai/gpt-5-mini,2026-03-15T14:53:15.410500,2026-03-15T14:54:07.172983,51.762483,"vars=['n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(2 - a)]","[ReLU(n - 4*a), ReLU(2 - a)]",YES,,4420,
MultDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:54:10.969423,2026-03-15T14:54:45.351322,34.381899,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - b) + ReLU(m - b)],[ReLU(n - b) + ReLU(m - b)],NO,"{
  ""m"": 3,
  ""n"": 3
}",3558,
MultDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T14:54:49.242025,2026-03-15T14:55:34.280865,45.03884,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1 + n - a), ReLU(1 + m - b)]","[ReLU(1 + n - a), ReLU(1 + m - b)]",YES,,4605,
Poly2VarsCondBreak,1,openrouter,openai/gpt-5-mini,2026-03-15T14:55:38.012618,2026-03-15T14:56:01.346737,23.334119,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],NO,"{
  ""m"": 4,
  ""n"": 3
}",2979,
Poly2VarsCondBreak,2,openrouter,openai/gpt-5-mini,2026-03-15T14:56:04.986446,2026-03-15T14:56:47.241006,42.25456,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a), ReLU(a)]","[ReLU(n - a), ReLU(a)]",NO,"{
  ""m"": 8,
  ""n"": 6
}",4331,
Poly2VarsCondBreak,3,openrouter,openai/gpt-5-mini,2026-03-15T14:56:51.034945,2026-03-15T14:57:13.376461,22.341516,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(1*n + -1*a + 1)],[ReLU(1*n + -1*a + 1)],YES,,2957,
PolyClosingIn,1,openrouter,openai/gpt-5-mini,2026-03-15T14:57:16.964971,2026-03-15T14:57:40.288403,23.323432,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m)],[ReLU(m)],YES,,2658,
Square2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T14:57:43.906764,2026-03-15T14:58:29.494541,45.587777,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + 1 - b)],[ReLU(n + m + 1 - b)],NO,"{
  ""m"": 2,
  ""n"": 3
}",4123,
Square2VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T14:58:33.128779,2026-03-15T14:59:16.375615,43.246836,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a + 1) + ReLU(m - b + 1)],[ReLU(n - a + 1) + ReLU(m - b + 1)],YES,,4462,
SquareDisj2Vars,1,openrouter,openai/gpt-5-mini,2026-03-15T14:59:19.828093,2026-03-15T15:01:17.921649,118.093556,"vars=['n', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b) + ReLU(1 - b), ReLU(n - a) + ReLU(1 - a)]","[ReLU(n - b) + ReLU(1 - b), ReLU(n - a) + ReLU(1 - a)]",NO,"{
  ""n"": 1
}",8992,
SquareDisj2Vars,2,openrouter,openai/gpt-5-mini,2026-03-15T15:01:21.957998,2026-03-15T15:02:19.607500,57.649502,"vars=['n', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + 1 - b)],[ReLU(n + 1 - b)],NO,"{
  ""n"": 3
}",4855,
SquareDisj2Vars,3,openrouter,openai/gpt-5-mini,2026-03-15T15:02:23.415639,2026-03-15T15:02:49.376981,25.961342,"vars=['n', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(n - a)]","[ReLU(n - b), ReLU(n - a)]",NO,"{
  ""n"": 0
}",3324,
SquareDisj2Vars,4,openrouter,openai/gpt-5-mini,2026-03-15T15:02:53.095946,2026-03-15T15:03:32.372128,39.276182,"vars=['n', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b + 1), ReLU(n - a + 1)]","[ReLU(n - b + 1), ReLU(n - a + 1)]",YES,,3892,
TwoPol4VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-15T15:03:36.902406,2026-03-15T15:04:01.631496,24.72909,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - b)],[ReLU(m - b)],YES,,2567,
TwoPol4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T15:04:05.577762,2026-03-15T15:04:44.745799,39.168037,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a) + ReLU(m - b)],[ReLU(n - a) + ReLU(m - b)],YES,,3606,
AliasDarteFeautrierGonnordSAS2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T15:04:49.064085,2026-03-15T15:05:16.823102,27.759017,"vars=['x', 'y', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3035,
AliasDarteFeautrierGonnordSAS2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-15T15:05:20.719387,2026-03-15T15:05:56.758421,36.039034,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3837,
AliasDarteFeautrierGonnordSAS2010Fig1,3,openrouter,openai/gpt-5-mini,2026-03-15T15:06:00.872249,2026-03-15T15:06:32.200984,31.328735,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3788,
AliasDarteFeautrierGonnordSAS2010Fig1,4,openrouter,openai/gpt-5-mini,2026-03-15T15:06:36.216107,2026-03-15T15:08:09.103825,92.887718,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x - y + 1), ReLU(y + 1)]","[ReLU(x - y + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 0
}",8787,
AliasDarteFeautrierGonnordSAS2010Fig1,5,openrouter,openai/gpt-5-mini,2026-03-15T15:08:15.414342,2026-03-15T15:08:40.211100,24.796758,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1),ReLU(y+1)]","[ReLU(x+1),ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3656,
AliasDarteFeautrierGonnordSAS2010Fig1,6,openrouter,openai/gpt-5-mini,2026-03-15T15:08:44.376391,2026-03-15T15:09:19.343426,34.967035,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3972,
AliasDarteFeautrierGonnordSAS2010Fig1,7,openrouter,openai/gpt-5-mini,2026-03-15T15:09:23.241525,2026-03-15T15:10:04.621971,41.380446,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3842,
