program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
DynExUpTo2VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:03:45.538072,2026-03-16T05:04:25.222347,39.684275,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - 4*a)],[ReLU(n - 4*a)],NO,"{
  ""m"": 4,
  ""n"": 4
}",3201,
DynExUpTo2VarsConj,2,openrouter,openai/gpt-5-mini,2026-03-16T05:04:30.816366,2026-03-16T05:05:56.047579,85.231213,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1*n - 4*a), ReLU(1*n - 1*a)]","[ReLU(1*n - 4*a), ReLU(1*n - 1*a)]",NO,"{
  ""m"": 0,
  ""n"": 0
}",5378,
DynExUpTo2VarsConj,3,openrouter,openai/gpt-5-mini,2026-03-16T05:06:00.980926,2026-03-16T05:06:46.031033,45.050107,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]",YES,,4605,
DynExUpTo2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:06:50.701241,2026-03-16T05:07:35.415581,44.71434,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a) + ReLU(m - a), ReLU(1 - a)]","[ReLU(n - a) + ReLU(m - a), ReLU(1 - a)]",YES,,4589,
DynExUpTo3VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:07:42.144863,2026-03-16T05:08:10.081468,27.936605,"vars=['n', 'm', 'o'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(m - 4*a), ReLU(o - 4*a)]","[ReLU(n - 4*a), ReLU(m - 4*a), ReLU(o - 4*a)]",NO,"{
  ""m"": 4,
  ""n"": 3,
  ""o"": 4
}",3775,
DynExUpTo3VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-16T05:08:14.030263,2026-03-16T05:08:36.516747,22.486484,"vars=['n', 'm', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + o - a)],[ReLU(n + m + o - a)],NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 0
}",3546,
DynExUpTo3VarsDisj,3,openrouter,openai/gpt-5-mini,2026-03-16T05:08:40.551791,2026-03-16T05:09:08.575956,28.024165,"vars=['n', 'm', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1), ReLU(o - 4*a + 1)]","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1), ReLU(o - 4*a + 1)]",YES,,3944,
DynExUpTo4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:09:12.372868,2026-03-16T05:09:37.274398,24.90153,"vars=['n', 'm', 'o', 'p'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n+1 - a), ReLU(m+1 - a), ReLU(o+1 - a), ReLU(p+1 - a)]","[ReLU(n+1 - a), ReLU(m+1 - a), ReLU(o+1 - a), ReLU(p+1 - a)]",YES,,3482,
DynamiteEx2Vars,1,openrouter,openai/gpt-5-mini,2026-03-16T05:09:41.005261,2026-03-16T05:10:31.786793,50.781532,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(m - 4*b), ReLU(1 - a) + ReLU(1 - b)]","[ReLU(n - 4*a), ReLU(m - 4*b), ReLU(1 - a) + ReLU(1 - b)]",NO,"{
  ""m"": 8,
  ""n"": 4
}",5298,
DynamiteEx2Vars,2,openrouter,openai/gpt-5-mini,2026-03-16T05:10:36.802170,2026-03-16T05:11:39.747243,62.945073,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*b), ReLU(2 - a) + ReLU(2 - b)]","[ReLU(n - 4*a) + ReLU(m - 4*b), ReLU(2 - a) + ReLU(2 - b)]",YES,,6151,
