program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
DynExUpTo2VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-15T09:14:10.688929,2026-03-15T09:14:50.620023,39.931094,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a), ReLU(1 - a)]","[ReLU(n - a), ReLU(1 - a)]",YES,,4134,
DynExUpTo2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T09:14:56.360245,2026-03-15T09:15:32.072518,35.712273,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(m - 4*a)]","[ReLU(n - 4*a), ReLU(m - 4*a)]",NO,"{
  ""m"": 0,
  ""n"": 0
}",3734,
DynExUpTo2VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T09:15:35.991716,2026-03-15T09:16:15.060079,39.068363,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1)]","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1)]",YES,,4509,
DynExUpTo3VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T09:16:20.675586,2026-03-15T09:16:58.214535,37.538949,"vars=['n', 'm', 'o'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - 4*a) + ReLU(m - 4*a) + ReLU(o - 4*a)],[ReLU(n - 4*a) + ReLU(m - 4*a) + ReLU(o - 4*a)],NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 0
}",4195,
DynExUpTo3VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T09:17:01.944985,2026-03-15T09:17:38.003534,36.058549,"vars=['n', 'm', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*a) + ReLU(o - 4*a), ReLU(1 - a)]","[ReLU(n - 4*a) + ReLU(m - 4*a) + ReLU(o - 4*a), ReLU(1 - a)]",NO,"{
  ""m"": 0,
  ""n"": 4,
  ""o"": 4
}",4528,
DynExUpTo3VarsDisj,3,openrouter,openai/gpt-5-mini,2026-03-15T09:17:41.674389,2026-03-15T09:18:27.913519,46.23913,"vars=['n', 'm', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - 2*a) + ReLU(m - 2*a) + ReLU(o - 2*a)],[ReLU(n - 2*a) + ReLU(m - 2*a) + ReLU(o - 2*a)],NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 0
}",5260,
DynExUpTo3VarsDisj,4,openrouter,openai/gpt-5-mini,2026-03-15T09:18:31.563133,2026-03-15T09:19:06.264165,34.701032,"vars=['n', 'm', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + o + 1 - a)],[ReLU(n + m + o + 1 - a)],YES,,3962,
DynExUpTo4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T09:19:10.035833,2026-03-15T09:19:49.302685,39.266852,"vars=['n', 'm', 'o', 'p'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a) + ReLU(m - a) + ReLU(o - a) + ReLU(p - a) + ReLU(1 - a)],[ReLU(n - a) + ReLU(m - a) + ReLU(o - a) + ReLU(p - a) + ReLU(1 - a)],YES,,4555,
DynamiteEx2Vars,1,openrouter,openai/gpt-5-mini,2026-03-15T09:19:54.161498,2026-03-15T09:20:59.962827,65.801329,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a + 1), ReLU(m - 4*b + 1)]","[ReLU(n - 4*a + 1), ReLU(m - 4*b + 1)]",YES,,6451,
DynamiteExample,1,openrouter,openai/gpt-5-mini,2026-03-15T09:21:04.717856,2026-03-15T09:21:15.300781,10.582925,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],YES,,2290,
