caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message,attemptCount,finalStatus,stopReason
DynExUpTo2VarsConj#loop,"[ ReLU(a - 1), ReLU(m - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 8,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
DynExUpTo2VarsDisj#loop,"[ ReLU(n - 1), ReLU(m - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 4,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
DynExUpTo3VarsDisj#loop,"[ ReLU(a - 1), ReLU(n - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 8,
  ""o"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
DynExUpTo4VarsDisj#loop,"[ ReLU(n - a * a * 4), ReLU(m - a * a * 4), ReLU(o - a * a * 4), ReLU(p - a * a * 4) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""m"": 0,
  ""n"": 0,
  ""o"": 4
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
DynamiteEx2Vars#loop,"[ ReLU(n - 2 * a), ReLU(m - 2 * b) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 6,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
DynamiteExample#loop,"[ ReLU(a + 1), ReLU(n - (a + 1) * (a + 1)) ]",COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
DynamiteExampleX4#loop,[ ReLU(n - a * a * 4 - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 8
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
MultDisj#loop,"[ ReLU(n + 1 - a), ReLU(m + 1 - b) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,3,PROVED,
Poly2VarsCondBreak#loop,"[ ReLU(a - 1), ReLU(m - 4 * a * a + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 5,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
PolyClosingIn#loop,"[ ReLU(a + 1), ReLU(m - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Square2VarsDisj#loop,"[ ReLU(n - a), ReLU(m - b), ReLU(n + m - a - b) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 7,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
