caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
DynExUpTo2VarsConj#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 5
}",Checker completed: candidate function could not prove termination.
DynExUpTo2VarsDisj#loop,[ReLU(a*a*4 - n) + ReLU(a*a*4 - m)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
DynExUpTo3VarsDisj#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*a*a) + ReLU(o - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 0
}",Checker completed: candidate function could not prove termination.
DynExUpTo4VarsDisj#loop,[ReLU(a*a*4 - n) + ReLU(a*a*4 - m) + ReLU(a*a*4 - o) + ReLU(a*a*4 - p)],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""m"": 11,
  ""n"": 1,
  ""o"": 1
}",Checker completed: candidate function could not prove termination.
DynamiteEx2Vars#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*b*b)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 5
}",Checker completed: candidate function could not prove termination.
DynamiteExample#loop,[ReLU(n - a*a - 2*a - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
DynamiteExampleX4#loop,[ReLU(n - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 4
}",Checker completed: candidate function could not prove termination.
MultDisj#loop,"[ReLU(n - a*b) + ReLU(m - a*b), ReLU(a) + ReLU(b)]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Poly2VarsCondBreak#loop,[ReLU(n - a) + ReLU(m - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 7
}",Checker completed: candidate function could not prove termination.
PolyClosingIn#loop,"[ReLU(m - a*a), ReLU(a*a - m)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Square2VarsDisj#loop,"[ReLU(n - a*a) + ReLU(m - b*b), ReLU(a) + ReLU(b)]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
SquareDisj2Vars#loop,[ReLU(n - a*a) + ReLU(n - b)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 2
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsConj#loop,[ReLU(n - a*a - 2*a - 1) + ReLU(m - b*b - 2*b - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsDisj#loop,[ReLU(n - a*a - 2*a - 1) + ReLU(m - b*b - 2*b - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 15,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010Fig1#loop,"[ReLU(m - x) + ReLU(y), ReLU(n) + ReLU(m - y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010cousot9#loop,[ ReLU(i) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010easy1#loop,[ ReLU(40 - x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010easy22#loop,[ ReLU(z) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010loops#loop,"[ReLU(n - x) + ReLU(x - y), ReLU(y - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010nestedLoop1#loop,[ ReLU(n - i - 1) + ReLU(m - j - 1) + ReLU(N - k - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 0,
  ""n"": 1,
  ""N"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010random1d2#loop,"[ReLU(m - x) + ReLU(x - a), ReLU(a) + ReLU(-a)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010random2d#loop,[ ReLU(10 - i) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010speedpldi2#loop,"[ReLU(n - v) + ReLU(m - v2), ReLU(v) + ReLU(v2)]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 2
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010speedpldi3#loop,"[ReLU(n - i - 1), ReLU(m - j - 1)]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 2
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010speedpldi4#loop,[ReLU(i - m) + ReLU(m - i - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 2,
  ""n"": 3
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010wcet2#loop,[ReLU(5 - i) + ReLU(i - 2) + ReLU(9 - j)],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010while2#loop,[ ReLU(i) + ReLU(j) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010wise#loop,[ReLU(x - y - 2) + ReLU(y - x - 2)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AveryFLOPS2006Table1#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
BradleyMannaSipmaCAV2005Fig1#loop,[ ReLU(y1 - y2) + ReLU(y2 - y1) ],COMPLETED,NOT_PROVED,NO,"{
  ""y1"": 3,
  ""y2"": 2
}",Checker completed: candidate function could not prove termination.
BrockschmidtCookFuhsCAV2013Fig1#loop,[ ReLU(n - i) + ReLU(i - j) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
BrockschmidtCookFuhsCAV2013Fig9a#loop,"[ ReLU(n - i - 1) + ReLU(i - j + k), ReLU(j - i - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 1,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
BrockschmidtCookFuhsCAV2013Introduction#loop,[ReLU(x) + ReLU(1 - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChawdharyCookGulwaniSagivYangESOP2008easy1#loop,[ ReLU(40 - x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChawdharyCookGulwaniSagivYangESOP2008easy2#loop,[ReLU(z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChawdharyCookGulwaniSagivYangESOP2008random1d#loop,[ReLU(m - x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChawdharyCookGulwaniSagivYangESOP2008random2d#loop,[ ReLU(N - i) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChenFlurMukhopadhyaySAS2012Ex220#loop,[ReLU(x - y) + ReLU(2 - y) + ReLU(y - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 3
}",Checker completed: candidate function could not prove termination.
ChenFlurMukhopadhyaySAS2012Ex301#loop,[ ReLU(y - x) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 3
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig1#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
CookSeeZulegerTACAS2013Fig7a#loop,[ReLU(x) + ReLU(y) + ReLU(d)],COMPLETED,NOT_PROVED,NO,"{
  ""d"": 0,
  ""x"": 0,
  ""y"": 0,
  ""z"": 2
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig7b#loop,[ReLU(x) + ReLU(y) + ReLU(z)],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""d"": 2,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig8amodified#loop,[ReLU(k - x) + ReLU(x - k)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
CookSeeZulegerTACAS2013Fig8a#loop,[ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig8b#loop,"[ReLU(m - x), ReLU(x - m)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""m"": 1
}",Checker completed: candidate function could not prove termination.
GopanRepsCAV2006Fig1a#loop,"[ReLU(51 - x), ReLU(y + 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
HarrisLalNoriRajamaniSAS2010Fig1#loop,[ ReLU(z - 1) + ReLU(k - z) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 1,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 1
}",Checker completed: candidate function could not prove termination.
HarrisLalNoriRajamaniSAS2010Fig3#loop,[x - 1],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
HeizmannHoenickeLeikePodelskiATVA2013Fig1#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
HeizmannHoenickeLeikePodelskiATVA2013Fig4#loop,[ReLU(x - 23)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 23
}",Checker completed: candidate function could not prove termination.
HeizmannHoenickeLeikePodelskiATVA2013Fig5#loop,[x],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
HeizmannHoenickeLeikePodelskiATVA2013Fig6#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
KroeningSharyginaTsitovichWintersteigerCAV2010Ex#loop,[ReLU(255 - i)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1#loop,[ReLU(255 - x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1#loop,[ ReLU(10000 - x) + ReLU(y - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 2,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
LeikeHeizmannTACAS2014Ex1#loop,[ReLU(q) + ReLU(-q)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LeikeHeizmannTACAS2014Ex9#loop,[ReLU(p) + ReLU(q)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LeikeHeizmannWST2014Ex9#loop,[ReLU(x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PodelskiRybalchenkoLICS2004Fig1#loop,[ ReLU(1073741823 - x) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoTACAS2011Fig1#loop,[ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PodelskiRybalchenkoTACAS2011Fig2#loop,[ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoTACAS2011Fig4#loop,[ReLU(x) + ReLU(y)],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 1,
  ""b"": 2,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
UrbanWST2013Fig2modified1000#loop,"[ ReLU(10 - x), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
UrbanWST2013Fig2#loop,"[ReLU(10 - x), ReLU(y - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
UrbanMineESOP2014Fig3#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 1,
  ""c"": 1,
  ""d"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
aviad#loop,[ReLU(a-1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
genady#loop,[ ReLU(i - j - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0
}",Checker completed: candidate function could not prove termination.
B2Nested1#loop,"[ReLU(x), ReLU(y)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
B4BitCounterPointer#loop,[ ReLU(4 - a - 2*b - 4*c - 8*d) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
B4NestedWith3Variables1#loop,[ ReLU(q) ],COMPLETED,NOT_PROVED,NO,"{
  ""q"": 1,
  ""a"": 1,
  ""b"": 0
}",Checker completed: candidate function could not prove termination.
Bangalore2#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Bangalorev4#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Benghazi#loop,[ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Benghazinondet2#loop,"[ReLU(x), ReLU(d - e)]",COMPLETED,NOT_PROVED,NO,"{
  ""d"": 0,
  ""e"": 0,
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Cairo#loop,[ReLU(x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cairostep21#loop,[ReLU(x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Collatzbounded#loop,[ReLU(113383 - y)],COMPLETED,NOT_PROVED,NO,"{
  ""y"": 113385
}",Checker completed: candidate function could not prove termination.
Copenhagen#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Copenhagendisj2#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
