caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message,attemptCount,finalStatus,stopReason
Bresenham1botht#loop,"[ ReLU(2 * Y * x - 2 * X * y - X + 2 * Y - v + c - k + 1), ReLU(v + 2 * Y + 1), ReLU(v + 2 * (Y - X) + y + 1), ReLU(x + 1), ReLU(c + 1) ]",COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Cohencu1botht#loop,"[ ReLU(6 - (6 * n + 6)), ReLU(a - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu2botht#loop,"[ ReLU(3 * n * n + 3 * n + 1 - k), ReLU(n - 1), ReLU(x - y), ReLU(y - z), ReLU(z - 6) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu3botht#loop,"[ ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu4botht#loop,"[ ReLU(n - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu5botht#loop,"[ ReLU(a - 1), ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1), ReLU(c - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu6botht#loop,"[ ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu7botht#loop,"[ ReLU(a + 1), ReLU(x + y - (a + 1) * (a + 1) * (a + 1)) ]",COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Dijkstra1botht#loop,"[ ReLU(n - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Dijkstra2botht#loop,"[ ReLU(4 * c + 4 * h + 4 * k + 4 * p + 4 * q + 4 * r + 4), ReLU(2 * c + 2 * h + 2 * k + 2 * p + 2 * q + 2 * r + 2) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra3botht#loop,"[ ReLU(h - 1), ReLU(q - 1), ReLU(c - 1), ReLU(n - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra4botht#loop,"[ ReLU(h - 1), ReLU(q - 1), ReLU(c - 1), ReLU(k - 1), ReLU(n - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 1,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra5botht#loop,"[ ReLU(h), ReLU(c) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 30,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra6botht#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Egcdbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""x"": 2,
  ""y"": 8
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Egcd2botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(c - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""temp"": 0,
  ""s"": 1,
  ""c"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Egcd3botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1), ReLU(s - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""c"": 0,
  ""d"": 0,
  ""v"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Fermat1botht#loop,"[ ReLU(u - 1), ReLU(v - 1), ReLU(r - 1), ReLU(kk - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""cc"": 0,
  ""kk"": 8,
  ""A"": 0,
  ""R"": 0,
  ""r"": 0,
  ""c"": 0,
  ""u"": 0,
  ""v"": 1,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Freire1botht#loop,"[ ReLU(x - 1), ReLU(r + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""r"": 0,
  ""c"": 0,
  ""x"": 0,
  ""k"": 14
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Geo1botht#loop,"[ ReLU(k - (x * z - x - y + 1 + c)) , ReLU(z - 1) , ReLU(x + 1) ]",COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Geo2botht#loop,"[ ReLU(c + 1 - k), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,4,PROVED,
Geo3botht#loop,"[ ReLU(z - 1), ReLU(x - 1), ReLU(y - 1), ReLU(c - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""c"": 1,
  ""x"": 0,
  ""y"": 1,
  ""z"": 1,
  ""k"": 1
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Hardbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(r - 1), ReLU(d - 1), ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
