caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
DynExUpTo2VarsConj#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 5
}",Checker completed: candidate function could not prove termination.
DynExUpTo2VarsDisj#loop,[ReLU(a) + ReLU(-a)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 8,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.
DynExUpTo3VarsDisj#loop,[ReLU(4*a*a - n) + ReLU(4*a*a - m) + ReLU(4*a*a - o)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 12
}",Checker completed: candidate function could not prove termination.
DynExUpTo4VarsDisj#loop,[ReLU(a*a*4 - n) + ReLU(a*a*4 - m) + ReLU(a*a*4 - o) + ReLU(a*a*4 - p)],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""m"": 11,
  ""n"": 1,
  ""o"": 1
}",Checker completed: candidate function could not prove termination.
DynamiteEx2Vars#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*b*b)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 5
}",Checker completed: candidate function could not prove termination.
DynamiteExample#loop,[ReLU(n - a*a - 2*a - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
DynamiteExampleX4#loop,[ReLU(n - 4*a*a)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 4
}",Checker completed: candidate function could not prove termination.
MultDisj#loop,[ReLU(n - a*b) + ReLU(m - a*b)],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Poly2VarsCondBreak#loop,"[ReLU(n - a), ReLU(m - 4*a*a)]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 4
}",Checker completed: candidate function could not prove termination.
PolyClosingIn#loop,[ReLU(m - a*a) + ReLU(a*a - m)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Square2VarsDisj#loop,"[ReLU(n - a*a), ReLU(m - b*b)]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 7
}",Checker completed: candidate function could not prove termination.
SquareDisj2Vars#loop,[ReLU(n - a*a) + ReLU(n - b)],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 2
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsConj#loop,[ReLU(n - a*a - 2*a - 1) + ReLU(m - b*b - 2*b - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 1,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsDisj#loop,[ReLU(n - a*a - 2*a - 1) + ReLU(m - b*b - 2*b - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 15,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010Fig1#loop,"[ReLU(m - x) + ReLU(y), ReLU(m - y) + ReLU(x)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010cousot9#loop,[ ReLU(i) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010easy1#loop,[ ReLU(40 - x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010easy22#loop,[ ReLU(z) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010loops#loop,"[ReLU(n - x) + ReLU(x - y), ReLU(x - y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010nestedLoop1#loop,[ ReLU(n - i - 1) + ReLU(m - j - 1) + ReLU(N - k - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 0,
  ""n"": 1,
  ""N"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010random1d2#loop,"[ReLU(m - x - 1), ReLU(a + 1) + ReLU(-a - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010random2d#loop,[ ReLU(N - i) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010speedpldi2#loop,[ReLU(v) + ReLU(m - v2 - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 2,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
