caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message,attemptCount,finalStatus,stopReason
Bresenham1botht#loop,[ReLU(2*Y*x - 2*X*y - X + 2*Y - v + c - k) + ReLU(2*Y*x - 2*X*y - X + 2*Y - v + c - k)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Cohencu1botht#loop,[ ReLU(k - 6*n - 6) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 12,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Cohencu2botht#loop,[ReLU(k - 3*n*n - 3*n - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Cohencu3botht#loop,[ReLU(k - n*n*n) + ReLU(n) + ReLU(-n) + ReLU(z - 6) + ReLU(y - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 1,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Cohencu4botht#loop,[ReLU(k - y*z + 18*x + 12*y - 2*z + 6 - c)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Cohencu5botht#loop,[ ReLU(k - c) + ReLU(z - 6) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 10,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Cohencu6botht#loop,[ReLU(a - n) + ReLU(6 - z) + ReLU(y - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,5,PROVED,
Cohencu7botht#loop,[ ReLU((a+1)*(a+1)*(a+1) - x - y) ],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Dijkstra1botht#loop,[ReLU(n - q) + ReLU(q - 1) + ReLU(r - (2 * p + q))],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Dijkstra2botht#loop,[ ReLU(q - 1) + ReLU(k - (p * p + r * q - n * q + c)) ],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Dijkstra3botht#loop,"[ReLU(q - 1), ReLU(4*n - q + 1) + ReLU(p - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Dijkstra4botht#loop,[ReLU(k - c) + ReLU(q - 4*n) + ReLU(4*n - q) + ReLU(p - 0)],COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra5botht#loop,[ ReLU(179 - k) + ReLU(q) + ReLU(c) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,5,PROVED,
Dijkstra6botht#loop,[ReLU(n - q) + ReLU(k - p * p + n * q - q * r - c) + ReLU(c)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Egcdbotht#loop,"[ReLU(a)+ReLU(b),ReLU(p)+ReLU(q)+ReLU(r)+ReLU(s)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
Egcd2botht#loop,[ ReLU(b) + ReLU(c) + ReLU(k) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,5,PROVED,
Egcd3botht#loop,[ ReLU(b) + ReLU(c) + ReLU(a) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""c"": 0,
  ""d"": 0,
  ""v"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Fermat1botht#loop,[ReLU(u*u - v*v - 2*u + 2*v - 4*(A + r) + cc - kk + 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
